"Story","Title","Result","Date","Stability","Duration (s)"
"Search by price DDT","Search emabg by product","SUCCESS","2020-05-12T23:09:14.740+03:00","0.0","35.39"
"Search by price DDT","Search emag by product","SUCCESS","2020-05-22T10:51:57.632+03:00","0.0","47.92"
"Search by keyword story ddt","Search wiki by keyword test DDT","SUCCESS","2020-05-12T21:06:50.144+03:00","0.0","20.43"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2020-05-12T21:02:10.232+03:00","0.0","8.2"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2020-04-29T13:24:34.928+03:00","0.0","11.72"
"Search by keyword story","Searching by keyword mango should display the corresponding article","SUCCESS","2020-05-12T21:02:02.111+03:00","0.0","8.05"
"Search by keyword story","Searching by keyword orange should display the corresponding article","SUCCESS","2020-04-29T13:24:55.360+03:00","0.0","8.41"
"Search by keyword story","Searching by keyword pear should display the corresponding article","SUCCESS","2020-05-12T21:01:53.580+03:00","0.0","8.41"
"Search by keyword story","Searching by keyword pineapple should display the corresponding article","SUCCESS","2020-05-12T21:01:40.243+03:00","0.0","13.2"
"Olx test user stories","User adds product","SUCCESS","2020-05-22T10:18:59.286+03:00","0.0","29.66"
"Olx test user stories","User tries to login","SUCCESS","2020-05-22T10:18:15.156+03:00","0.0","22.18"
